1A         | I. NAKİT DEĞERLER VE MERKEZ BANKASI                     | I. CASH AND BALANCES WITH THE CENTRAL BANK OF TURKEY | v1=501656898000
3AD        | 1.4 Para Piyasası İşlemlerinden Alınan Faizler          | 1.4 Interest Received From Money Market Transactions | v1=228722000
3AE        | 1.5 Menkul Değerlerden Alınan Faizler                   | 1.5 Interest Received From Marketable Securities Portfolio | v1=35895906000
3AF        | 1.5.1 Alım Satım Amaçlı  Finansal Varlıklardan          | 1.5.1 Trading Securities                      | v1=0
3AG        | 1.5.2 Gerçeğe Uygun Değ. Sınıflandırılan FV             |                                               | v1=892866000
3AH        | 1.5.3 Satılmaya Hazır Finansal Varlıklardan             | 1.5.3 Available-for-Sale Securities           | v1=0
3AJ        | 1.5.4 Vadeye Kadar Elde Tutulacak Yatırımlardan         | 1.5.4 Held to Maturity Securities             | v1=0
3AK        | 1.6 Finansal Kiralama Gelirleri                         | 1.6 Financial Lease Income                    | v1=0
3AL        | 1.7 Diğer Faiz Gelirleri                                | 1.7 Other Interest Income                     | v1=455432000
3B         | II. FAİZ GİDERLERİ                                      | II. INTEREST EXPENSE                          | v1=122247415000
3BA        | 2.1 Mevduata Verilen Faizler                            | 2.1 Interst on Deposits                       | v1=103300416000
3BB        | 2.2 Kullanılan Kredilere Verilen Faizler                | 2.2 Interest on Funds Borrowed                | v1=1894023000
3BC        | 2.3 Para Piyasası İşlemlerine Verilen Faizler           | 2.3 Interest on Money Market Transactions     | v1=11878363000
3BD        | 2.4 İhraç Edilen Menkul Kıymetlere Verilen Faizler      | 2.4 Interest on Securities Issued             | v1=4931891000
3BE        | 2.5 Diğer Faiz Giderleri                                | 2.5 Other Interest Expense                    | v1=42922000
3C         | III. NET FAİZ GELİRİ/GİDERİ (I - II)                    | III. NET INTEREST INCOME/EXPENSES (I - II)    | v1=40596842000
3CA        | IV. NET ÜCRET VE KOMİSYON GELİRLERİ/GİDERLERİ           | IV. NET FEES AND COMMISSIONS INCOME/EXPENSES  | v1=30158371000
3CAA       | 4.1 Alınan Ücret ve Komisyonlar                         | 4.1 Fees and Commissions Received             | v1=37997730000
3CAB       | 4.1.1 Gayri Nakdi Kredilerden                           | 4.1.1 Non-Cash Loans                          | v1=1043843000
3CAC       | 4.1.2 Diğer                                             | 4.1.2 Other                                   | v1=36953887000
3CAD       | 4.2 Verilen Ücret ve Komisyonlar                        | 4.2 Fees and Commissions Paid                 | v1=7839359000
3CAE       | 4.2.1 Gayri Nakdi Kredilere                             | 4.2.1 Non-Cash Loans                          | v1=11128000
3CAF       | 4.2.2 Diğer                                             | 4.2.2 Others                                  | v1=7828231000
3CB        | V. TEMETTÜ GELİRLERİ                                    | V. DIVIDEND INCOME                            | v1=71114000
3CC        | VI. TİCARİ KAR / ZARAR (Net)                            | VI. NET TRADING INCOME                        | v1=-4956739000
3CCA       | 6.1 Sermaye Piyasası İşlemleri Karı/Zararı              | 6.1 Profit/Losses on Trading Account Securities | v1=3279717000
3CCB       | 6.2 Türev Finansal İşlemlerden Kar/Zarar                | 6.2 Profit/Losses on Derivative Financial Trades | v1=-33711401000
3CCC       | 6.3 Kambiyo İşlemleri Karı/Zararı                       | 6.3 Foreign Exchange Profit/Losses            | v1=25474945000
3CD        | VII. DİĞER FAALİYET GELİRLERİ                           | VII. OTHER OPERATING INCOME                   | v1=3394927000
3CE        | VIII. FAALİYET GELİRLERİ/GİDERLERİ TOPLAMI (III+IV+V+VI+VII) | VIII. TOTAL OPERATING INCOME/EXPENSES (III+IV+V+VI+VII) | v1=69264515000
3CF        | IX. KREDİ VE DİĞER ALACAKLAR DEĞER DÜŞÜŞ KARŞILIĞI (-)  | IX. PROVISIONS FOR LOAN LOSSES OR OTHER RECEIVABLES | v1=11913574000
3CG        | X. DİĞER FAALİYET GİDERLERİ (-)                         | X. OTHER OPERATING EXPENSES (-)               | v1=20875327000
3CH        | XI. NET FAALİYET KARI/ZARARI (VIII-IX-X)                | XI. NET OPERATING INCOME (IX-X-XI)            | v1=22802941000
3CI        | XII. BİRLEŞME İŞLEMİ SONRASINDA GELİR OLARAK KAYDEDİLEN FAZLALIK TUTARI | XII. SURPLUS WRITTEN AS GAIN AFTER MERGER     | v1=0
3CJ        | XIII. ÖZKAYNAK YÖNTEMİ UYGULANAN ORTAKLIKLARDAN KAR/ZARAR | XIII. PROFIT/LOSSES FROM ASSOCIATES AND SUBSIDIARIES | v1=3312504000
3CK        | XIV. NET PARASAL POZİSYON KARI/ZARARI                   | XIV. NET MONETORY POSITION GAIN/LOSS          | v1=0
3CL        | XV. SÜRDÜRÜLEN FAALİYETLER VERGİ ÖNCESİ K/Z (XI+XII+XIII+XIV) | XV. PROFIT/LOSS BEFORE TAXES FROM CONTINUING OPERATIONS (XI+XII+XIII+XIV) | v1=26115445000
3CM        | XVI. SÜRDÜRÜLEN FAALİYETLER VERGİ KARŞILIĞI (±)         | XVI. PROVISION FOR TAXES ON INCOME FROM CONTINUING OPERATIONS (±) | v1=6936870000
3CMA       | 16.1 Cari Vergi Karşılığı                               | 16.1 Current Tax Provision                    | v1=11605689000
3CMB       | 16.2 Ertelenmiş Vergi Karşılığı                         | 16.2 Deferred Tax Provision                   | v1=-4668819000
3CN        | XVII. SÜRDÜRÜLEN FAALİYETLER DÖNEM NET K/Z (XV±XVI)     | XVII. NET PROFIT/LOSS FROM CONTINUING OPERATIONS (XV±XVI) | v1=19178575000
3CO        | XVIII. DURDURULAN FAALİYETLERDEN GELİRLER               | XVIII. INCOME FROM TERMINATED OPERATIONS      | v1=0
3COA       | 18.1 Satış Amaçlı Elde Tutulan Duran Varlık Gelirleri   | 18.1 Property And Equipment Income Held For Sale | v1=0
3COB       | 18.2 İştirak, Bağlı Ortaklık ve Bir.                    |                                               | v1=0
3COC       | 18.3 Diğer Durdurulan Faaliyet Gelirleri                | 18.3 Other Income From Terminated Operations  | v1=0
3CP        | XIX. DURDURULAN FAALİYETLERDEN GİDERLER (-)             | XIX. EXPENSES FROM TERMINATED OPERATIONS (-)  | v1=0
